600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
900,0,0,600,900,0,0,200,400,0,400,0,500,700,600
-900,900,0,100,900,400,800,600,-400,500,0,0,0,-100,-400
0,700,0,-400,100,700,800,600,0,-500,100,0,0,-600,-200
0,0,0,-300,0,0,0,400,0,0,0,0,0,0,0
0,0,200,0,0,200,900,900,0,0,-500,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-400,0,0,0,0,800,200,0,0,0,0,0,0,0
0,-300,0,0,0,0,600,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-200,0,0,0,0,300,0,0,0,0,0,0,0
0,-400,0,0,0,0,800,300,0,0,0,0,0,0,0
0,0,0,100,-100,100,0,0,0,0,0,0,0,0,0
0,0,0,0,-500,100,300,0,0,0,0,0,0,0,0
0,-100,100,-100,100,0,0,900,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-100,0,0,0,0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-100,0,0,0,300,0,200,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-300,0,0,0,0,500,600,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
